1;LALIGA EA SPORTS;Spain;Real Madrid;France
2;Barclays WSL;England;Manchester City;Spain
3;Barclays WSL;England;Manchester City;Norway
4;LALIGA EA SPORTS;Spain;Real Madrid;England
5;LALIGA EA SPORTS;Spain;Real Madrid;Brazil
6;Barclays WSL;England;Manchester City;Belgium
7;Bundesliga;Germany;FC Bayern München;England
8;Barclays WSL;England;Arsenal;Norway
9;Arkema PL;France;Paris SG;Italy
10;Barclays WSL;England;Liverpool;Brazil
11;LALIGA EA SPORTS;Spain;Real Madrid;Belgium
12;Serie A Enilive;Italy;Lombardia FC;Argentina
13;Barclays WSL;England;Liverpool;Holland
14;LALIGA EA SPORTS;Spain;FC Barcelona;Germany
15;Barclays WSL;England;Liverpool;Egypt
16;Barclays WSL;England;Manchester City;England
17;MLS;United States;Inter Miami CF;Argentina
18;LALIGA EA SPORTS;Spain;Atlético de Madrid;France
19;Barclays WSL;England;Manchester City;Portugal
20;LALIGA EA SPORTS;Spain;FC Barcelona;Poland
21;LALIGA EA SPORTS;Spain;Real Madrid;Uruguay
22;Barclays WSL;England;Manchester City;Brazil
23;Barclays WSL;England;Manchester City;Portugal
24;LALIGA EA SPORTS;Spain;Atlético de Madrid;Slovenia
25;LALIGA EA SPORTS;Spain;Real Madrid;Germany
26;Bundesliga;Germany;Leverkusen;Germany
27;Bundesliga;Germany;Borussia Dortmund;Switzerland
28;Barclays WSL;England;Arsenal;France
29;Serie A Enilive;Italy;SSC Napoli;Nigeria
30;Bundesliga;Germany;FC Bayern München;Germany
31;Barclays WSL;England;Arsenal;England
32;Serie A Enilive;Italy;AS Roma;Argentina
33;Serie A Enilive;Italy;Milano FC;France
34;ROSHN Saudi League;Saudi Arabia;Al Hilal;Brazil
35;Barclays WSL;England;Arsenal;England
36;LALIGA EA SPORTS;Spain;FC Barcelona;Holland
37;Serie A Enilive;Italy;Milano FC;France
38;Premier League;England;Man Utd;Portugal
39;Barclays WSL;England;Spurs;Korea Republic
40;Arkema PL;France;Paris SG;Brazil
41;Serie A Enilive;Italy;Lombardia FC;Italy
42;Barclays WSL;England;Manchester City;Germany
43;Barclays WSL;England;Aston Villa;Argentina
44;Serie A Enilive;Italy;Lombardia FC;Italy
45;Serie A Enilive;Italy;Lombardia FC;Switzerland
46;ROSHN Saudi League;Saudi Arabia;Al Nassr;Portugal
47;Barclays WSL;England;Arsenal;Brazil
48;Bundesliga;Germany;Leverkusen;Switzerland
49;LALIGA EA SPORTS;Spain;Real Madrid;Brazil
50;ROSHN Saudi League;Saudi Arabia;Al Hilal;Portugal
51;Serie A Enilive;Italy;Milano FC;Portugal
52;Bundesliga;Germany;Leverkusen;Spain
53;LALIGA EA SPORTS;Spain;Real Madrid;Croatia
54;Barclays WSL;England;Liverpool;Argentina
55;LALIGA EA SPORTS;Spain;Real Madrid;Spain
56;Arkema PL;France;Paris SG;France
57;Barclays WSL;England;Liverpool;England
58;LALIGA EA SPORTS;Spain;FC Barcelona;Spain
59;Bundesliga;Germany;Leverkusen;Germany
60;ROSHN Saudi League;Saudi Arabia;Al Ittihad;France
61;Calcio A Femminile;Italy;Juventus;Brazil
62;Bundesliga;Germany;FC Bayern München;Germany
63;LALIGA EA SPORTS;Spain;Athletic Club;Spain
64;Bundesliga;Germany;FC Bayern München;Germany
65;Serie A Enilive;Italy;Lombardia FC;Turkey
66;LALIGA EA SPORTS;Spain;Real Madrid;Austria
67;LALIGA EA SPORTS;Spain;FC Barcelona;Uruguay
68;Bundesliga;Germany;Borussia Dortmund;Germany
69;LALIGA EA SPORTS;Spain;Real Madrid;Brazil
70;Premier League;England;Newcastle Utd;Brazil
71;Premier League;England;Newcastle Utd;Sweden
72;ROSHN Saudi League;Saudi Arabia;Al Ittihad;France
73;LALIGA EA SPORTS;Spain;FC Barcelona;France
74;Serie A Enilive;Italy;SSC Napoli;Georgia
75;Arkema PL;France;Paris SG;Portugal
76;Barclays WSL;England;Spurs;England
77;ROSHN Saudi League;Saudi Arabia;Al Ahli;Algeria
78;LALIGA EA SPORTS;Spain;Valencia CF;Georgia
79;Barclays WSL;England;Arsenal;Spain
80;ROSHN Saudi League;Saudi Arabia;Al Hilal;Serbia
81;Bundesliga;Germany;RB Leipzig;Belgium
82;Bundesliga;Germany;FC Bayern München;Portugal
83;Barclays WSL;England;Chelsea;England
84;Barclays WSL;England;Liverpool;Scotland
85;Bundesliga;Germany;FC Bayern München;Germany
86;Bundesliga;Germany;Borussia Dortmund;Germany
87;Barclays WSL;England;Manchester City;England
88;LALIGA EA SPORTS;Spain;Real Madrid;France
89;Barclays WSL;England;Liverpool;Portugal
90;Premier League;England;Newcastle Utd;Italy
91;Barclays WSL;England;Aston Villa;England
92;LALIGA EA SPORTS;Spain;Athletic Club;Spain
93;Serie A Enilive;Italy;Lombardia FC;Italy
94;Barclays WSL;England;Manchester City;Switzerland
95;Barclays WSL;England;Manchester City;Holland
96;LALIGA EA SPORTS;Spain;Atlético de Madrid;Argentina
97;LALIGA EA SPORTS;Spain;RC Celta;Spain
98;ROSHN Saudi League;Saudi Arabia;Al Hilal;Morocco
99;Barclays WSL;England;Liverpool;Italy
100;Bundesliga;Germany;FC Bayern München;France
101;ROSHN Saudi League;Saudi Arabia;Al Hilal;Portugal
102;Premier League;England;Man Utd;Holland
103;LALIGA EA SPORTS;Spain;Atlético de Madrid;Argentina
104;LALIGA EA SPORTS;Spain;FC Barcelona;Brazil
105;Barclays WSL;England;Liverpool;Colombia
106;Serie A Enilive;Italy;Lombardia FC;Italy
107;Serie A Enilive;Italy;AS Roma;Ukraine
108;Bundesliga;Germany;Leverkusen;Holland
109;Bundesliga;Germany;Leverkusen;Spain
110;Barclays WSL;England;Manchester City;England
111;Bundesliga;Germany;Borussia Dortmund;Guinea
112;Liga Portugal;Portugal;Sporting CP;Sweden
113;Arkema PL;France;Paris SG;Morocco
114;Bundesliga;Germany;Leverkusen;Finland
115;ROSHN Saudi League;Saudi Arabia;Al Hilal;Senegal
116;ROSHN Saudi League;Saudi Arabia;Al Nassr;Senegal
117;Premier League;England;Man Utd;Argentina
118;Liga Portugal;Portugal;FC Porto;Portugal
119;LALIGA EA SPORTS;Spain;Real Madrid;France
120;Barclays WSL;England;Chelsea;France
121;LALIGA EA SPORTS;Spain;FC Barcelona;Spain
122;Bundesliga;Germany;Leverkusen;Argentina
123;Serie A Enilive;Italy;Lombardia FC;France
124;LALIGA EA SPORTS;Spain;Real Sociedad;Spain
125;Barclays WSL;England;Spurs;Argentina
126;Bundesliga;Germany;Borussia Dortmund;Austria
127;Premier League;England;Man Utd;Brazil
128;Barclays WSL;England;Spurs;Italy
129;Calcio A Femminile;Italy;Juventus;Serbia
130;Barclays WSL;England;Manchester City;England
131;Barclays WSL;England;Arsenal;England
132;Libertadores;Peru;River Plate;Argentina
133;Bundesliga;Germany;Leverkusen;Germany
134;Serie A Enilive;Italy;Milano FC;Algeria
135;Serie BKT;Italy;Sassuolo;Italy
136;LALIGA EA SPORTS;Spain;Real Madrid;France
137;ROSHN Saudi League;Saudi Arabia;Al Shabab;Belgium
138;LALIGA EA SPORTS;Spain;FC Barcelona;Denmark
139;Serie A Enilive;Italy;Lombardia FC;Holland
140;Liga Portugal;Portugal;SL Benfica;Argentina
141;ROSHN Saudi League;Saudi Arabia;Al Ittihad;France
142;Trendyol Süper Lig;Turkey;Fenerbahçe;Morocco
143;Trendyol Süper Lig;Turkey;Besiktas;Portugal
144;Barclays WSL;England;Liverpool;Holland
145;LALIGA EA SPORTS;Spain;Atlético de Madrid;Uruguay
146;MLS;United States;LAFC;France
147;Bundesliga;Germany;FC Bayern München;Germany
148;Barclays WSL;England;Manchester City;Croatia
149;Barclays WSL;England;Arsenal;Germany
150;Arkema PL;France;Paris SG;France
151;Trendyol Süper Lig;Turkey;Galatasaray;Argentina
152;Bundesliga;Germany;FC Bayern München;Korea Republic
153;Barclays WSL;England;Liverpool;France
154;Calcio A Femminile;Italy;Juventus;Holland
155;Barclays WSL;England;Manchester City;Croatia
156;Bundesliga;Germany;FC Bayern München;Austria
157;ROSHN Saudi League;Saudi Arabia;Al Nassr;Spain
158;LALIGA EA SPORTS;Spain;Atlético de Madrid;Spain
159;LALIGA EA SPORTS;Spain;Atlético de Madrid;Spain
160;Calcio A Femminile;Italy;Juventus;Italy
161;Bundesliga;Germany;Borussia Dortmund;Holland
162;Barclays WSL;England;Arsenal;Brazil
163;Serie A Enilive;Italy;Lombardia FC;Armenia
164;Serie A Enilive;Italy;Milano FC;Spain
165;LALIGA EA SPORTS;Spain;Villarreal CF;Spain
166;Premier League;England;Man Utd;Cameroon
167;Bundesliga;Germany;RB Leipzig;Hungary
168;LALIGA EA SPORTS;Spain;FC Barcelona;Spain
169;LALIGA EA SPORTS;Spain;Villarreal CF;Spain
170;Serie A Enilive;Italy;AS Roma;Italy
171;Liga Portugal;Portugal;Sporting CP;Portugal
172;Barclays WSL;England;Everton;England
173;Premier League;England;Newcastle Utd;England
174;Barclays WSL;England;Spurs;Spain
175;Serie A Enilive;Italy;Latium;Italy
176;Serie A Enilive;Italy;Milano FC;United States
177;Barclays WSL;England;Arsenal;Spain
178;LALIGA EA SPORTS;Spain;Atlético de Madrid;Spain
179;Barclays WSL;England;West Ham;Argentina
180;Serie A Enilive;Italy;Latium;Italy
181;Bundesliga;Germany;RB Leipzig;Holland
182;Calcio A Femminile;Italy;Juventus;Brazil
183;Trendyol Süper Lig;Turkey;Fenerbahçe;Serbia
184;Bundesliga;Germany;Leverkusen;Burkina Faso
185;Arkema PL;France;Paris SG;Portugal
186;Serie A Enilive;Italy;Lombardia FC;France
187;Serie A Enilive;Italy;Milano FC;England
188;Trendyol Süper Lig;Turkey;Galatasaray;Uruguay
189;Premier League;England;Newcastle Utd;England
190;Barclays WSL;England;Arsenal;Belgium
191;LALIGA EA SPORTS;Spain;Girona FC;Ukraine
192;Serie A Enilive;Italy;Latium;Italy
193;Serie A Enilive;Italy;Torino;Colombia
194;LALIGA EA SPORTS;Spain;Real Betis;Spain
195;Premier League;England;Newcastle Utd;Brazil
196;Liga Portugal;Portugal;FC Porto;Brazil
197;ROSHN Saudi League;Saudi Arabia;Al Qadisiyah;Gabon
198;Barclays WSL;England;Aston Villa;Jamaica
199;Bundesliga;Germany;TSG Hoffenheim;Germany
200;Bundesliga;Germany;Leverkusen;Nigeria
201;Premier League;England;Newcastle Utd;Holland
202;Barclays WSL;England;West Ham;England
203;ROSHN Saudi League;Saudi Arabia;Al Nassr;Croatia
204;Barclays WSL;England;Chelsea;Ecuador
205;Bundesliga;Germany;Borussia Dortmund;Germany
206;Serie A Enilive;Italy;Bergamo Calcio;Italy
207;ROSHN Saudi League;Saudi Arabia;Al Qadisiyah;Belgium
208;Barclays WSL;England;West Ham;Brazil
209;LALIGA EA SPORTS;Spain;Atlético de Madrid;Argentina
210;Barclays WSL;England;Chelsea;Spain
211;Calcio A Femminile;Italy;Juventus;Brazil
212;ROSHN Saudi League;Saudi Arabia;Al Nassr;Portugal
213;Premier League;England;Man Utd;Portugal
214;LALIGA EA SPORTS;Spain;RCD Mallorca;Spain
215;Bundesliga;Germany;FC Bayern München;Canada
216;Serie A Enilive;Italy;SSC Napoli;Italy
217;LALIGA EA SPORTS;Spain;Real Madrid;Morocco
218;Serie A Enilive;Italy;Lombardia FC;Holland
219;Trendyol Süper Lig;Turkey;Fenerbahçe;Bosnia and Herzegovina
220;Barclays WSL;England;Chelsea;Argentina
221;ROSHN Saudi League;Saudi Arabia;Al Qadisiyah;Spain
222;Barclays WSL;England;Arsenal;Brazil
223;Barclays WSL;England;Arsenal;Italy
224;Barclays WSL;England;Aston Villa;Spain
225;Barclays WSL;England;West Ham;Germany
226;LALIGA EA SPORTS;Spain;Valencia CF;Spain
227;LALIGA EA SPORTS;Spain;Girona FC;Argentina
228;Bundesliga;Germany;SC Freiburg;Germany
229;Bundesliga;Germany;FC Bayern München;Germany
230;Premier League;England;Newcastle Utd;England
231;Bundesliga;Germany;FC Bayern München;Portugal
232;Bundesliga;Germany;RB Leipzig;Hungary
233;ROSHN Saudi League;Saudi Arabia;Al Ittihad;Brazil
234;LALIGA EA SPORTS;Spain;Girona FC;Venezuela
235;Bundesliga;Germany;Leverkusen;Germany
236;Trendyol Süper Lig;Turkey;Besiktas;Italy
237;Barclays WSL;England;Chelsea;England
238;Barclays WSL;England;Aston Villa;France
239;ROSHN Saudi League;Saudi Arabia;Al Ahli;C?te d'Ivoire
240;Arkema PL;France;Paris SG;France
241;Calcio A Femminile;Italy;Juventus;Serbia
242;Barclays WSL;England;West Ham;Ghana
243;Barclays WSL;England;Spurs;Sweden
244;Arkema PL;France;OL;France
245;Libertadores;Peru;River Plate;Argentina
246;Premier League;England;Fulham;Germany
247;Serie A Enilive;Italy;SSC Napoli;Slovakia
248;Serie A Enilive;Italy;Bergamo Calcio;Nigeria
249;Serie A Enilive;Italy;SSC Napoli;Belgium
250;Serie A Enilive;Italy;AS Roma;Italy
251;Barclays WSL;England;Aston Villa;Scotland
252;ROSHN Saudi League;Saudi Arabia;Al Hilal;Serbia
253;LALIGA EA SPORTS;Spain;Atlético de Madrid;Argentina
254;Barclays WSL;England;Manchester City;Brazil
255;Bundesliga;Germany;FC Bayern München;Germany
256;Barclays WSL;England;Liverpool;Uruguay
257;Bundesliga;Germany;FC Bayern München;France
258;LALIGA EA SPORTS;Spain;Real Sociedad;Spain
259;Barclays WSL;England;Arsenal;Ghana
260;Serie A Enilive;Italy;Milano FC;Holland
261;Arkema PL;France;Paris SG;Spain
262;Ligue 1 McDonald's;France;RC Lens;France
263;LALIGA EA SPORTS;Spain;Athletic Club;Spain
264;Barclays WSL;England;Chelsea;England
265;Premier League;England;Newcastle Utd;Switzerland
266;Bundesliga;Germany;Leverkusen;Czech Republic
267;Premier League;England;Man Utd;England
268;ROSHN Saudi League;Saudi Arabia;Al Hilal;Brazil
269;ROSHN Saudi League;Saudi Arabia;Al Fayha;England
270;LALIGA EA SPORTS;Spain;Atlético de Madrid;Norway
271;ROSHN Saudi League;Saudi Arabia;Al Nassr;Brazil
272;MLS;United States;Inter Miami CF;Uruguay
273;Bundesliga;Germany;Borussia Dortmund;Germany
274;Bundesliga;Germany;Frankfurt;Germany
275;Barclays WSL;England;Spurs;Italy
276;Bundesliga;Germany;FC Bayern München;France
277;Barclays WSL;England;Spurs;Holland
278;Serie A Enilive;Italy;Como;France
279;LALIGA EA SPORTS;Spain;Athletic Club;Ghana
280;MLS;United States;FC Cincinnati;Argentina
281;Barclays WSL;England;West Ham;Mexico
282;LALIGA EA SPORTS;Spain;Athletic Club;Spain
283;Bundesliga;Germany;Borussia Dortmund;Germany
284;Barclays WSL;England;West Ham;France
285;Arkema PL;France;Paris SG;Spain
286;LALIGA EA SPORTS;Spain;FC Barcelona;Spain
287;Barclays WSL;England;Spurs;Uruguay
288;LALIGA EA SPORTS;Spain;Athletic Club;Spain
289;MLS;United States;Inter Miami CF;Spain
290;Serie A Enilive;Italy;AS Roma;Italy
291;Liga Portugal;Portugal;SC Braga;Portugal
292;LALIGA EA SPORTS;Spain;Real Betis;Portugal
293;Serie A Enilive;Italy;Lombardia FC;Italy
294;Ligue 1 McDonald's;France;LOSC Lille;Canada
295;Barclays WSL;England;Spurs;Brazil
296;Eredivisie;Netherlands;PSV;Holland
297;Trendyol Süper Lig;Turkey;Fenerbahçe;Brazil
298;Barclays WSL;England;Crystal Palace;England
299;Serie A Enilive;Italy;Milano FC;France
300;Serie A Enilive;Italy;Lombardia FC;Italy
301;Serie A Enilive;Italy;Bologna;Switzerland
302;LALIGA EA SPORTS;Spain;Atlético de Madrid;England
303;Ligue 1 McDonald's;France;AS Monaco;Russia
304;Bundesliga;Germany;Borussia Dortmund;Germany
305;Barclays WSL;England;Crystal Palace;England
306;Eredivisie;Netherlands;Feyenoord;Slovakia
