1;Right;ST;LW;Quick Step+, Acrobatic, Finesse Shot, Flair, Rapid, Trivela
2;Right;CDM;CM;Tiki Taka+, Aerial, Bruiser, Long Ball Pass, Power Shot, Press Proven
3;Left;ST;;Acrobatic+, Bruiser, Power Header, Power Shot, Press Proven
4;Right;CAM;CM;Relentless+, Flair, Intercept, Slide Tackle, Technical
5;Right;LW;ST, LM;Quick Step+, Chip Shot, Finesse Shot, First Touch, Flair, Rapid, Trivela
6;Right;CM;CAM;Incisive Pass+, Dead Ball, Long Ball Pass, Pinged Pass, Trivela, Whipped Pass
7;Right;ST;;Finesse Shot+, First Touch, Incisive Pass, Long Ball Pass, Power Header, Trivela
8;Left;CM;CAM;Incisive Pass+, First Touch, Flair, Pinged Pass, Technical, Trivela, Whipped Pass
9;Right;GK;;Deflector+, Footwork
10;Right;GK;;Deflector+, 1v1 Close Down, Far Throw
11;Left;GK;;1v1 Close Down+, Cross Claimer, Far Throw
12;Right;ST;;Finesse Shot+, Power Shot, Relentless, Technical
13;Right;CB;;Aerial+, Anticipate, Block, Bruiser, Jockey, Long Ball Pass, Power Header
14;Right;GK;;Footwork+, 1v1 Close Down
15;Left;RW;RM;Finesse Shot+, Chip Shot, Rapid, Trivela
16;Left;RW;LW, CAM, RM;Technical+, First Touch, Flair
17;Left;RW;ST, CAM, RM;Technical+, Dead Ball, Finesse Shot, Incisive Pass, Quick Step, Tiki Taka, Trivela
18;Left;ST;;Finesse Shot+, Acrobatic, Chip Shot, Flair, Incisive Pass, Technical, Trivela
19;Right;CB;;Bruiser+, Power Header
20;Right;ST;;Chip Shot+, Finesse Shot, First Touch, Incisive Pass, Power Header, Power Shot, Trivela
21;Right;CM;RM;Power Shot+, Long Ball Pass, Rapid, Relentless, Trivela
22;Left;GK;;Long Ball Pass+, Cross Claimer, Pinged Pass
23;Left;CM;RW;Technical+, Flair, Relentless, Tiki Taka, Trivela, Whipped Pass
24;Right;GK;;Far Reach+, Cross Claimer, Far Throw
